Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU1,220,8,0.033571,0.003208
GPU1,220,9,0.026430,0.002413
GPU1,220,10,0.025282,0.002406
GPU1,220,11,0.033344,0.003309
GPU1,220,12,0.027211,0.002419
GPU1,220,13,0.025452,0.002414
GPU1,220,14,0.027174,0.002418
GPU1,220,15,0.025005,0.002423
GPU1,220,16,0.025031,0.002411
GPU1,220,17,0.031062,0.002409
GPU1,220,18,0.042819,0.002412
GPU1,220,19,0.038638,0.003373
GPU1,220,20,0.035897,0.002409
GPU1,220,21,0.047033,0.002411
GPU1,220,22,0.043887,0.002413
GPU1,220,23,0.048450,0.002413
GPU1,220,24,0.027206,0.002411
GPU1,220,25,0.029457,0.002411
GPU1,220,26,0.027044,0.003314
GPU1,220,27,0.025445,0.002413
GPU1,220,28,0.025240,0.002416
GPU1,220,29,0.028675,0.002411
GPU1,220,30,0.024858,0.002416
GPU1,220,31,0.027547,0.002416
GPU1,220,32,0.025280,0.002424
GPU1,230,1,0.026029,0.002958
GPU1,230,2,0.038008,0.003617
GPU1,230,3,0.026129,0.002955
GPU1,230,4,0.025054,0.002955
GPU1,230,5,0.042932,0.002954
GPU1,230,6,0.026419,0.002955
GPU1,230,7,0.025204,0.002955
GPU1,230,8,0.027042,0.002955
GPU1,230,9,0.034760,0.002952
GPU1,230,10,0.029422,0.002951
GPU1,230,11,0.029781,0.002947
GPU1,230,12,0.042927,0.002950
GPU1,230,13,0.034001,0.002954
GPU1,230,14,0.027408,0.002949
GPU1,230,15,0.028983,0.002953
GPU1,230,16,0.025361,0.002952
GPU1,230,17,0.025340,0.002955
GPU1,230,18,0.028192,0.002953
GPU1,230,19,0.040396,0.002952
GPU1,230,20,0.027028,0.002960
GPU1,230,21,0.029112,0.002949
GPU1,230,22,0.025698,0.002955
GPU1,230,23,0.031335,0.002952
GPU1,230,24,0.025225,0.002951
GPU1,230,25,0.028155,0.003059
GPU1,230,26,0.026869,0.002952
