Algo,TailleMat,RunId,Temps
CPU1,260,1,0.143312
CPU1,260,2,0.143340
CPU1,260,3,0.090142
CPU1,260,4,0.132117
CPU1,260,5,0.138892
CPU1,260,6,0.148846
CPU1,260,7,0.145577
CPU1,260,8,0.141812
CPU1,260,9,0.140994
CPU1,260,10,0.089933
CPU1,260,11,0.144243
CPU1,260,12,0.142361
CPU1,260,13,0.145668
CPU1,260,14,0.141960
CPU1,260,15,0.140014
CPU1,260,16,0.142393
CPU1,260,17,0.138353
CPU1,260,18,0.142485
CPU1,260,19,0.143585
CPU1,260,20,0.144977
CPU1,260,21,0.143439
CPU1,260,22,0.092556
CPU1,260,23,0.078338
CPU1,260,24,0.107912
CPU1,260,25,0.147002
CPU1,260,26,0.091245
CPU1,260,27,0.141684
CPU1,260,28,0.147252
CPU1,260,29,0.142575
CPU1,260,30,0.145180
CPU1,260,31,0.144708
CPU1,260,32,0.143587
CPU1,270,1,0.102090
CPU1,270,2,0.159442
CPU1,270,3,0.157502
CPU1,270,4,0.158537
CPU1,270,5,0.154148
CPU1,270,6,0.159265
CPU1,270,7,0.158230
CPU1,270,8,0.159184
CPU1,270,9,0.159612
CPU1,270,10,0.100681
CPU1,270,11,0.156270
CPU1,270,12,0.157270
CPU1,270,13,0.100447
CPU1,270,14,0.153811
CPU1,270,15,0.159009
CPU1,270,16,0.157943
CPU1,270,17,0.158044
CPU1,270,18,0.157294
CPU1,270,19,0.101570
CPU1,270,20,0.089113
CPU1,270,21,0.129472
CPU1,270,22,0.134326
CPU1,270,23,0.161706
CPU1,270,24,0.226831
CPU1,270,25,0.158598
CPU1,270,26,0.159176
CPU1,270,27,0.158561
CPU1,270,28,0.161479
CPU1,270,29,0.157973
CPU1,270,30,0.155786
CPU1,270,31,0.158330
CPU1,270,32,0.157708
CPU1,280,1,0.169521
CPU1,280,2,0.167705
CPU1,280,3,0.167296
CPU1,280,4,0.147111
CPU1,280,5,0.168129
CPU1,280,6,0.169067
CPU1,280,7,0.167646
CPU1,280,8,0.169148
CPU1,280,9,0.170775
CPU1,280,10,0.171227
CPU1,280,11,0.168277
CPU1,280,12,0.168922
CPU1,280,13,0.171985
CPU1,280,14,0.171592
CPU1,280,15,0.170159
CPU1,280,16,0.167386
CPU1,280,17,0.170342
CPU1,280,18,0.168857
CPU1,280,19,0.167151
CPU1,280,20,0.170986
CPU1,280,21,0.166864
CPU1,280,22,0.170130
CPU1,280,23,0.170754
CPU1,280,24,0.166803
CPU1,280,25,0.168015
CPU1,280,26,0.169797
CPU1,280,27,0.171713
CPU1,280,28,0.107601
CPU1,280,29,0.170909
CPU1,280,30,0.106500
CPU1,280,31,0.169558
CPU1,280,32,0.169778
CPU1,290,1,0.188629
CPU1,290,2,0.193130
CPU1,290,3,0.188841
CPU1,290,4,0.188884
CPU1,290,5,0.188092
CPU1,290,6,0.188162
CPU1,290,7,0.112416
CPU1,290,8,0.166943
CPU1,290,9,0.111935
CPU1,290,10,0.169925
CPU1,290,11,0.185953
CPU1,290,12,0.188277
CPU1,290,13,0.185431
CPU1,290,14,0.186846
CPU1,290,15,0.190567
CPU1,290,16,0.189503
CPU1,290,17,0.188547
CPU1,290,18,0.193303
CPU1,290,19,0.187907
CPU1,290,20,0.188709
CPU1,290,21,0.187428
CPU1,290,22,0.191082
CPU1,290,23,0.188132
CPU1,290,24,0.191624
CPU1,290,25,0.186516
CPU1,290,26,0.189010
CPU1,290,27,0.161848
CPU1,290,28,0.184424
CPU1,290,29,0.190696
CPU1,290,30,0.192834
CPU1,290,31,0.188446
CPU1,290,32,0.189235
CPU1,300,1,0.200502
CPU1,300,2,0.201441
CPU1,300,3,0.128078
CPU1,300,4,0.202596
CPU1,300,5,0.199394
CPU1,300,6,0.199434
CPU1,300,7,0.201377
CPU1,300,8,0.126771
CPU1,300,9,0.188878
CPU1,300,10,0.203882
CPU1,300,11,0.203979
CPU1,300,12,0.201956
CPU1,300,13,0.202728
CPU1,300,14,0.202285
CPU1,300,15,0.175150
CPU1,300,16,0.204328
CPU1,300,17,0.200796
CPU1,300,18,0.200579
CPU1,300,19,0.203987
CPU1,300,20,0.205004
CPU1,300,21,0.199757
CPU1,300,22,0.205004
CPU1,300,23,0.201074
CPU1,300,24,0.126948
CPU1,300,25,0.202156
CPU1,300,26,0.192277
CPU1,300,27,0.200769
CPU1,300,28,0.200893
CPU1,300,29,0.202261
CPU1,300,30,0.203466
CPU1,300,31,0.207127
CPU1,300,32,0.204688
CPU1,310,1,0.217918
CPU1,310,2,0.223318
CPU1,310,3,0.220618
CPU1,310,4,0.214852
CPU1,310,5,0.220110
CPU1,310,6,0.284625
CPU1,310,7,0.222478
CPU1,310,8,0.220085
CPU1,310,9,0.215835
CPU1,310,10,0.224165
CPU1,310,11,0.218115
CPU1,310,12,0.221696
CPU1,310,13,0.215192
CPU1,310,14,0.222239
CPU1,310,15,0.224119
CPU1,310,16,0.220010
CPU1,310,17,0.224870
CPU1,310,18,0.217140
CPU1,310,19,0.218001
CPU1,310,20,0.221243
CPU1,310,21,0.218121
CPU1,310,22,0.217445
CPU1,310,23,0.215840
CPU1,310,24,0.214292
CPU1,310,25,0.215557
CPU1,310,26,0.220141
CPU1,310,27,0.216204
CPU1,310,28,0.218379
CPU1,310,29,0.140622
CPU1,310,30,0.186451
CPU1,310,31,0.219266
CPU1,310,32,0.219349
CPU1,320,1,0.237432
CPU1,320,2,0.229011
